text,count
rendez,2
vous,2
explodes,1
plaything,1
sad,2
pity,1
farewell,2
riddance,1
looney,1
screeching,1
tires,1
bell,2
deliverer,6
dude,1
attendant,3
talkin,1
blvd,1
moment,7
lights,12
delivery,8
far,3
continuing,1
desperation,1
rocket,18
logo,2
minutes,3
stalled,1
um,1
cold,1
eye,3
parked,3
within,2
safety,3
oilcan,1
spacefreighter,1
return,1
port,2
origin,1
jettisons,1
food,2
supply,1
able,2
transport,1
climb,3
abroad,1
beeline,1
passenger,3
chases,3
after,10
restraining,1
harnesses,1
cargo,2
safer,2
cockpit,2
flash,3
scaled,1
grabbed,1
mirror,3
swung,1
cab,4
whisper,12
lefts,1
directions,1
starting,2
scrambles,2
bumper,4
hatch,2
lets,1
dividing,2
driver,3
pizzas,1
insulated,1
prudently,1
fastens,1
belt,1
than,4
bay,2
shifts,1
gear,1
propelling,1
maniac,1
sharp,1
hills,1
speeds,3
helplessly,2
thrown,1
yelps,2
pain,1
steep,1
hill,1
tool,6
barreling,2
bam,1
filled,2
barrels,2
parking,1
lot,2
parks,1
entrance,5
animatronic,1
robots,1
guard,1
doorway,7
customers,2
approach,4
guards,3
crossed,1
spears,1
patrons,1
announcements,1
blare,1
speakers,1
male,3
speaker,2
shuttle,2
scheduled,1
counting,2
female,1
white,5
zone,2
eating,1
pries,1
toolbox,11
trash,6
peels,1
heavily,1
guarded,2
mega,2
gulp,2
cup,3
thinking,3
containers,1
littered,1
doors,3
automatically,1
swing,2
pass,3
burger,3
container,3
disguised,1
dash,1
airlock,1
pose,1
discarded,2
straw,1
periscope,1
ow,1
mouthing,1
sneak,1
rows,1
video,5
throw,2
disguises,1
arcade,2
arena,1
hordes,1
sea,1
tech,1
overwhelm,1
beaming,1
hope,4
work,2
busy,3
none,1
familiar,1
hears,3
play,6
hole,5
stroller,3
corridor,2
saw,2
hyperdrive,2
active,1
astro,1
turf,1
manage,1
waits,1
tracking,1
crane,14
modeled,1
launch,6
notice,6
basket,1
prize,4
dooh,1
cannot,1
happening,1
forced,3
screaming,3
partition,3
divides,1
deposit,2
squeeze,4
aliens,11
hundreds,2
identical,1
cute,2
stranger,1
oo,2
greetings,1
jabbering,1
crosses,3
aisle,2
clambers,1
intergalactic,1
emergency,1
commandeer,1
vessel,1
witness,1
surround,1
point,1
cla,1
w,5
claw,10
dangles,2
our,2
master,1
chooses,1
ludicrous,1
recognition,1
tackles,1
fishes,2
quarters,1
pants,1
pocket,2
gotten,1
decided,1
moves,6
position,1
hovers,1
hiding,3
chosen,3
positioned,1
lifted,1
gotcha,1
upper,2
torso,4
exposed,1
frantically,1
escape,1
small,3
swims,1
locking,2
latch,1
pry,1
shadow,3
tug,3
war,3
sink,1
fist,1
glass,4
wha,1
tugging,1
zealots,1
lifelessly,3
dropped,1
snatched,1
closeup,1
darkness,1
rock,1
music,1
walkman,1
backpack,13
zipper,1
recognizes,1
scrunched,1
dwelling,2
nirvana,1
mystic,1
portal,1
awaits,1
won,2
sit,1
begrudgingly,1
obeys,1
somethin,1
sideways,1
snout,2
motion,2
rabidly,1
horror,3
hannah,55
glance,1
frail,1
janie,7
mail,1
dunno,1
whaddaya,1
insistent,1
mock,1
sick,2
rising,2
perform,1
operations,1
bolts,5
pursuit,1
pounding,1
carelessly,1
tosses,5
makeshift,1
workbench,5
doctor,5
patient,3
nurse,2
prepare,1
r,1
stat,1
clicks,1
bare,1
bulb,1
operating,1
vise,2
telling,2
straining,1
tightening,1
epped,1
painter,1
mask,2
toolchest,1
dons,1
surgeon,1
ever,3
attempted,1
bypass,1
brain,1
transplant,1
pterodactyl,4
crate,4
junk,3
tricky,1
pliers,1
medical,1
struggles,3
screams,3
monstrosity,1
true,1
peer,1
metal,3
power,2
adorn,1
messy,1
hell,2
die,1
bolting,1
doorknob,3
startled,1
noise,4
yo,2
spooked,1
brandishes,1
sees,1
hurriedly,1
trades,1
larger,1
flashlight,6
shines,2
illuminating,1
profile,1
spider,1
erector,2
creature,1
extends,3
legs,19
taller,1
speechless,1
keeps,2
babyface,7
mutant,16
shadows,4
fishing,3
pole,2
fashion,3
screwed,1
jack,2
mutants,11
cannibals,3
retreats,1
cowers,2
punches,1
may,2
reinforcements,1
pause,3
copy,1
adjusts,1
blip,1
aiming,2
stun,1
kill,1
anyone,3
attacks,2
blink,1
death,1
bushes,3
shaking,2
annoyed,2
meow,1
cat,1
whiskers,1
interfering,1
search,1
duck,2
waddah,1
weasel,1
guilty,1
capable,1
such,3
atrocities,1
visibly,1
crestfallen,1
interrogator,3
survivor,1
rebel,2
slap,1
strong,2
shade,1
bright,2
sunlight,1
ways,1
magnifying,3
focuses,1
dot,3
smolder,1
tarts,1
burning,1
bowl,2
eaten,1
cereal,2
milk,1
dunks,1
pausing,1
remove,1
suction,1
darts,2
person,1
colorful,1
froot,1
loops,1
glasses,1
whacking,1
proud,1
lesser,1
talked,1
torture,1
reflection,2
spoon,2
rubs,1
spaceport,1
aaaah,2
appear,1
block,3
eat,3
shield,1
fires,1
flickers,1
confusedly,1
recharged,1
hours,1
hostage,1
fends,1
involuntarily,1
hoo,3
cha,2
savages,1
circles,1
continually,1
chopping,1
canceled,1
confronted,2
freezes,2
sleeping,1
beast,1
stairs,6
muffled,2
stunt,1
killed,1
shhh,1
safely,2
cowardly,1
fours,1
meets,1
curls,1
wrought,1
iron,2
creep,2
unaware,1
farther,4
yeeeeeee,1
haaaaaaa,1
vainly,1
stifle,1
recoiling,1
giddy,1
partner,1
growling,2
wagon,1
train,1
movin,1
split,2
ajar,1
crashed,1
attention,2
sniffing,1
sensing,2
movement,1
snoring,1
tracks,1
dad,1
den,2
recliner,1
v,13
commander,2
tv,14
calling,2
speak,1
interrupted,1
responding,1
television,2
changes,3
young,1
earth,1
chorus,2
reacts,1
confusion,3
announcer,9
greatest,3
superhero,1
commercial,1
displayed,1
feature,2
demonstrated,1
compares,1
same,2
pulsating,1
laserlight,1
total,1
annihilation,1
multi,2
phrase,1
simulator,1
secret,4
uniform,1
monster,2
pressure,1
launched,1
non,1
lawyer,1
wide,2
buzzes,1
lining,1
either,1
store,1
available,1
al,1
barn,1
outlets,1
tri,1
county,1
stricken,1
molded,1
underside,2
cover,3
taiwan,2
dejectedly,3
pauses,2
blue,2
taunting,2
echoes,1
bows,4
defeated,1
raises,2
determination,2
offending,1
deny,1
message,1
square,2
entryway,5
crashes,3
severed,8
broken,6
defeat,2
om,1
sally,2
seeing,2
dear,2
nevermind,2
knob,1
jiggles,1
entangled,1
height,1
topple,2
bowling,1
topples,1
smashing,1
creeps,1
interesting,1
tea,5
headless,2
except,3
seated,1
dressed,1
frilly,1
apron,2
fashionable,1
nesbit,3
teapot,2
pours,2
imaginary,1
join,1
lovely,1
quite,2
further,1
clears,1
throat,1
pouring,1
ladies,1
keels,1
wails,1
drunken,1
despair,1
whoo,1
happened,1
defending,1
suckin,1
darjeeling,1
marie,1
antoinette,1
sisters,1
wave,1
removes,1
had,4
helping,1
hysterical,1
snap,1
slaps,1
detached,1
politely,1
sobers,1
sober,1
depressed,4
sham,1
looked,3
color,1
genius,2
coil,1
drags,1
years,1
academy,1
training,1
wasted,1
miss,1
ohhh,1
sunk,1
quit,2
whining,1
pay,1
gimme,3
nasally,1
bout,1
five,3
waves,1
son,1
psycho,1
kidding,1
bombs,1
catch,3
overly,1
tie,1
pills,1
forgotten,1
fine,3
liar,1
dead,2
respond,1
preoccupied,2
peeling,1
crumples,1
sec,1
insincerely,1
exploding,1
lyin,1
reappears,1
casualness,1
fellas,1
shake,4
screwy,1
bet,1
hug,1
innocently,2
shrugs,1
exposing,1
clasps,1
barf,1
realizing,2
hide,2
disgusting,2
murdering,1
swear,1
jury,1
lives,1
citizens,1
blinds,1
sli,1
inkyyy,1
thunder,2
storm,1
slumps,2
emit,1
converging,1
freaks,1
fray,1
pinchers,1
shielding,1
clamps,1
loses,1
grip,2
sails,1
crashing,1
swarming,1
mass,1
mob,3
vengeance,1
monsters,1
furiously,2
digging,1
newly,1
attached,1
fixed,2
confirm,1
recent,1
victims,1
operation,1
correct,1
bodies,1
nervously,1
corners,1
grunt,3
progress,2
blame,1
underneath,2
milkcrate,11
came,2
reverently,1
label,1
stepping,1
put,2
orbit,1
dislodges,1
magazine,1
electrical,1
irreverent,1
chuckle,1
tapes,1
thunderclap,1
lightning,1
interrupts,1
rainstorm,1
commence,2
sullenly,1
heaves,3
sigh,3
brightens,1
focus,1
buzzrocket,1
newscaster,1
reporting,1
delayed,1
due,1
