text,count
heading,1
cliffside,4
asylum,7
golden,1
imposing,1
waterfall,2
spy,1
yards,1
sneak,5
stationed,1
elaborate,2
signals,1
sniffs,1
air,2
moves,1
ooooooooooo,1
distant,2
cupping,1
approaches,3
gary,2
oooooooo,1
oooooooooo,1
distraction,1
complex,1
drainage,1
pipe,2
leading,1
drain,2
creepy,1
cavernous,1
medical,3
equipment,3
combination,1
hospital,4
century,1
zoo,1
shines,1
corridor,4
end,3
nears,1
tension,1
builds,1
ward,1
modern,1
scuffed,1
tiger,1
cage,2
startling,1
swivels,1
reflective,1
cages,2
pacing,1
cell,3
continue,1
until,1
gently,1
wife,2
lunges,3
missus,1
cells,1
counting,1
including,2
handed,1
click,3
retreat,1
excuses,1
doctor,7
